moeda,valor_compra,valor_venda,maxima_dia,minima_dia,data_cotacao,arquivo_origem
USD,5.10979,5.12177,5.157,5.09038,2026-07-29 15:51:37,cotacoes_20260729T185954Z.json
EUR,5.84795,5.86167,5.88582,5.81058,2026-07-29 15:51:37,cotacoes_20260729T185954Z.json
USD,5.09395,5.10587,5.157,5.08207,2026-07-29 16:02:09,cotacoes_20260729T190648Z.json
EUR,5.83431,5.84795,5.88582,5.81058,2026-07-29 16:02:09,cotacoes_20260729T190648Z.json
USD,5.1275,5.1305,5.157,5.0947,2026-07-29 19:03:46,cotacoes_20260729T221019Z.json
EUR,5.87544,5.88928,5.88582,5.81058,2026-07-29 19:03:37,cotacoes_20260729T221019Z.json
USD,5.1272,5.1302,5.157,5.0947,2026-07-29 19:33:07,cotacoes_20260729T223720Z.json
EUR,5.87544,5.88928,5.88582,5.81058,2026-07-29 19:03:37,cotacoes_20260729T223720Z.json
USD,5.1276,5.1306,5.157,5.0947,2026-07-29 21:59:36,cotacoes_20260730T010412Z.json
EUR,5.87199,5.88582,5.88582,5.81058,2026-07-29 21:59:33,cotacoes_20260730T010412Z.json
